Student_ID,Gender,Age,Study_Hours,Attendance,Math_Score,Science_Score,English_Score,Computer_Score,Assignment_Score,Previous_Score,Final_Score
STU057,Female,21,3.0,87.2,26.2,29.1,34.5,37.7,84.8,62.5,70.3
STU058,Female,22,3.9,87.1,26.5,31.2,32.1,41.1,77.6,64.0,66.8
STU059,Female,22,5.1,87.2,39.9,39.3,50.3,48.0,86.7,73.7,73.2
STU060,Male,19,6.3,100.0,36.3,39.6,38.7,50.5,100.0,71.6,81.6
STU061,Male,19,3.6,87.7,36.9,27.5,35.4,43.8,82.4,69.3,70.2
STU062,Male,22,4.2,93.4,40.4,33.8,39.7,55.4,90.2,80.9,77.2
STU063,Female,22,2.5,91.5,27.8,27.4,41.8,35.3,85.6,60.6,63.6
STU064,Male,21,2.3,88.5,22.6,22.9,33.2,39.5,80.9,63.3,54.3
STU065,Female,20,6.0,78.8,37.6,33.8,51.4,45.5,93.6,78.7,80.2
STU066,Female,19,6.9,89.6,50.4,43.3,36.0,59.9,100.0,75.5,79.0
STU067,Male,20,4.4,74.3,38.3,30.0,38.2,32.9,99.8,67.8,68.1
STU068,Female,21,6.3,79.6,33.7,53.1,49.7,59.9,94.0,74.6,77.4
STU069,Male,22,5.2,77.1,38.2,20.0,39.9,41.0,89.4,70.5,67.5
STU070,Male,20,3.3,82.8,35.1,36.9,38.6,21.7,87.8,56.9,67.5
STU071,Male,22,5.2,100.0,28.0,50.6,39.7,46.4,100.0,74.0,84.5
STU072,Female,22,7.3,63.3,47.9,22.9,55.4,42.1,100.0,79.6,85.0
STU073,Male,18,4.4,88.9,35.1,35.3,58.5,51.1,92.6,80.2,71.9
STU074,Female,20,7.3,65.9,49.8,39.9,44.7,44.0,86.6,83.7,81.9
STU075,Male,20,1.0,77.3,21.9,20.0,26.9,28.4,78.5,70.1,59.2
STU076,Male,22,6.0,92.9,26.3,31.7,52.9,29.6,89.5,69.6,76.0
STU077,Male,21,4.7,82.6,25.7,26.7,51.8,39.1,89.5,75.6,83.5
STU078,Female,18,4.0,71.2,32.6,46.0,30.5,20.0,74.6,65.3,64.6
STU079,Female,22,4.7,74.8,43.1,47.4,40.1,32.3,84.2,84.8,76.5
STU080,Female,19,1.0,88.8,20.0,31.3,21.9,31.9,73.4,48.5,47.1
STU081,Male,19,4.1,74.7,35.4,34.8,22.9,40.6,83.9,58.1,63.6
STU082,Male,18,5.1,84.2,23.1,24.2,31.9,43.8,92.9,65.8,68.3
STU083,Female,21,7.2,82.5,38.8,32.6,34.3,35.6,100.0,61.7,80.2
STU084,Female,22,3.6,75.5,20.0,,26.2,33.2,82.6,58.8,63.8
STU085,Female,20,3.0,100.0,26.0,20.0,33.0,35.2,83.3,58.9,57.4
STU086,Female,18,3.6,88.3,34.2,38.2,37.4,28.5,90.7,66.5,60.2
STU087,Female,21,6.1,61.7,31.6,34.3,51.3,54.5,95.4,73.2,66.6
STU088,Female,20,5.1,83.9,40.1,37.8,38.2,54.2,81.3,85.5,81.3
STU089,Male,19,3.5,75.4,41.4,37.7,42.2,35.6,83.1,70.2,61.3
STU090,Female,19,5.4,90.5,34.0,40.6,39.1,42.9,98.6,68.3,64.9
STU091,Male,20,4.7,74.1,38.9,27.0,33.9,37.9,82.4,60.0,67.3
STU092,Male,18,6.2,80.9,33.7,51.2,49.5,30.4,100.0,78.3,92.9
STU093,Female,19,3.2,87.0,32.2,20.0,22.1,30.0,80.4,52.9,57.2
STU094,Female,22,3.9,90.7,51.6,43.6,44.7,38.6,87.1,81.6,80.7
STU095,Male,20,3.8,70.0,20.0,37.4,37.2,30.0,77.3,72.2,63.8
STU096,Female,20,1.9,78.7,20.0,20.0,29.6,25.9,72.2,53.0,49.5
STU097,Female,19,5.0,77.3,36.2,32.5,35.6,50.0,79.4,55.2,71.1
STU098,Male,18,5.0,75.5,38.2,26.6,59.0,49.0,76.3,79.4,73.2
STU099,Male,22,4.5,99.7,41.3,44.7,35.9,37.8,100.0,70.0,76.9
STU100,Male,18,4.1,86.0,33.4,34.6,36.5,46.8,79.7,76.8,72.9
STU101,Female,21,2.0,69.4,20.4,20.0,20.0,34.9,62.4,42.7,41.7
STU102,Male,21,3.7,91.2,31.3,40.0,30.7,44.0,70.3,61.4,69.8
STU103,Female,19,3.9,100.0,45.9,28.3,34.1,41.1,85.0,68.6,70.1
STU104,Male,19,3.1,92.3,34.5,20.0,42.8,31.3,73.5,64.4,58.7
STU105,Male,19,4.2,66.8,33.0,20.0,42.3,39.9,90.9,60.2,65.8
STU106,Male,21,5.2,77.2,35.6,42.3,36.9,46.0,95.1,74.7,70.7
STU107,Female,18,7.9,94.7,43.1,33.5,43.2,58.2,100.0,75.1,88.4
STU108,Female,18,4.8,74.9,31.4,48.6,40.1,43.9,100.0,66.5,71.8
STU109,Male,19,5.0,86.4,41.5,20.0,36.5,50.8,97.1,71.5,79.5
STU110,Male,22,4.4,89.7,34.6,51.2,44.4,37.7,86.1,72.9,76.1
STU111,Male,18,1.0,72.7,25.5,23.1,26.6,37.7,47.9,57.8,47.2
STU112,Female,21,4.5,81.4,48.8,29.3,23.6,37.8,100.0,58.7,71.9
STU113,Male,20,4.6,50.0,32.6,20.0,38.5,46.3,65.8,50.1,63.5
STU114,Female,20,8.9,71.8,50.4,54.6,67.6,51.5,93.1,93.7,99.7
STU115,Male,20,4.2,79.5,44.5,32.5,32.6,52.7,91.0,68.8,70.8
STU116,Male,22,5.0,69.5,29.6,40.8,32.2,38.4,100.0,61.5,61.4
STU117,Male,19,4.4,98.3,26.1,41.4,46.4,41.2,100.0,82.7,72.5
STU118,Male,21,2.4,67.7,20.0,25.0,29.9,25.7,74.6,57.7,50.5
STU119,Male,22,6.6,77.6,30.5,40.2,52.1,46.9,99.3,84.8,80.3
STU120,Male,21,5.9,83.3,38.1,38.4,57.0,48.3,99.6,,79.3
STU121,Female,21,5.9,96.4,49.0,49.7,49.6,57.1,100.0,92.4,90.7
STU122,Male,19,2.9,67.6,45.4,20.0,28.4,31.4,75.1,72.8,63.7
STU123,Female,20,7.0,93.6,48.5,31.8,38.2,49.7,100.0,77.9,85.1
STU124,Male,19,2.0,82.1,27.5,33.9,26.1,50.4,73.3,65.6,61.6
STU125,Male,22,5.6,72.2,46.1,39.0,41.2,57.3,83.0,75.6,77.4
STU126,Female,22,8.4,86.6,36.4,50.5,68.7,61.6,100.0,95.0,87.9
STU127,Male,22,2.7,84.0,28.5,24.8,25.0,30.9,66.0,53.2,49.6
STU128,Female,19,3.5,76.0,38.9,33.8,36.3,37.7,78.4,68.2,64.2
STU129,Female,21,4.7,82.7,27.5,32.4,41.2,48.2,80.5,77.2,66.3
STU130,Male,21,3.6,78.1,35.7,20.0,36.9,22.4,72.6,49.4,59.1
STU131,Female,18,1.7,83.1,25.0,22.0,42.0,24.2,73.8,47.3,57.8
STU132,Female,22,4.6,88.6,28.0,20.5,29.6,22.0,98.8,53.0,68.9
STU133,Male,21,2.6,97.9,35.8,32.5,29.4,38.0,88.7,60.9,62.3
STU134,Female,18,5.4,69.6,56.6,21.1,47.8,47.6,75.4,74.9,81.6
STU135,Male,21,2.8,100.0,38.3,44.1,43.6,37.0,77.1,76.2,70.9
STU136,Male,22,7.3,62.5,44.1,44.4,57.1,58.8,100.0,76.0,82.6
STU137,Male,20,3.1,80.5,31.0,35.0,40.8,28.9,71.8,74.9,61.3
STU138,Male,22,3.9,87.9,23.7,37.4,30.0,22.8,83.7,55.4,59.6
STU139,Female,19,6.0,84.8,43.2,49.6,42.7,42.4,98.5,60.6,74.6
STU140,Male,21,2.3,75.8,20.0,33.4,36.0,38.6,66.3,57.4,55.5
STU141,Male,21,4.9,79.9,38.2,20.0,45.3,55.1,88.2,72.1,73.7
STU142,Female,19,6.9,77.1,39.3,29.6,48.7,43.4,87.1,76.2,79.8
STU143,Male,19,1.6,76.1,22.0,20.0,27.6,30.8,65.4,38.6,46.4
STU144,Male,20,4.8,90.5,40.5,36.1,48.0,41.5,92.9,69.8,80.6
STU145,Female,21,5.0,85.6,42.6,36.9,45.9,36.9,78.8,60.0,74.6
STU146,Female,21,5.9,75.1,37.0,32.6,47.7,52.2,93.9,77.5,70.9
STU147,Female,20,2.3,91.0,28.0,29.9,31.0,39.4,78.2,63.5,47.4
STU148,Female,18,2.1,85.1,20.0,20.0,27.8,20.0,79.2,51.2,55.6
STU149,Female,20,5.4,90.1,35.2,31.2,49.2,54.5,95.1,68.7,69.7
STU150,Female,22,5.0,88.3,38.5,20.8,31.7,50.5,100.0,62.4,70.1
